county_FIPS,unemployed_num,unemployment_rate
21147,315,6.7
21149,224,5.2
21151,1926,4.2
21153,474,15.9
21155,384,4.1
21157,871,5.8
21159,229,7.5
21161,439,6.1
21163,615,5
21165,201,8.5
21167,478,4.8
21169,167,4
21171,180,3.8
21173,756,6.5
21175,325,7.2
21177,760,6.8
21179,957,4.3
21181,181,5.5
21183,604,6.2
21185,1124,3.4
21187,234,4.3
21189,89,8.1
21191,321,4.6
21193,679,8.1
21195,1539,7.6
21197,326,6.5
21199,1393,5.5
21201,50,6.1
21203,375,5.7
21205,602,5.7
21207,435,7
21209,1026,3.6
21211,867,3.5
21213,388,4.5
21215,372,3.7
21217,548,4.3
21219,219,4.1
21221,330,5.6
21223,189,4.9
21225,357,5.9
21227,2528,4
21229,252,4.1
21231,561,7.6
21233,295,5.1
21235,773,5.6
21237,172,8.9
21239,474,3.2
22000,108102,5.1
22001,1422,5.9
22003,473,5.3
22005,2685,4.3
22007,658,7.3
22009,958,6.1
22011,786,5.3
22013,338,6
22015,2575,4.5
22017,6081,5.8
22019,4303,4
22021,220,5.7
22023,144,3.6
22025,242,7
22027,313,5.3
22029,563,7.9
22031,655,6.1
22033,10200,4.4
22035,229,11.1
22037,384,4.8
22039,742,5.9
22041,546,7.5
22043,516,6.3
22045,2117,7.3
22047,874,6.2
22049,316,4.5
22051,9762,4.5
22053,665,4.9
22055,5535,4.9
22057,2183,5.2
22059,289,4.7
22061,1118,5.2
22063,2860,4.2
22065,306,8.1
22067,827,8
22069,979,6
22071,9209,5.1
22073,3719,5.3
22075,467,4.7
22077,559,5.6
22079,3153,5.6
22081,201,5.2
22083,510,6.1
22085,487,5.5
22087,1024,5.2
22089,1123,4.5
22091,287,6.6
22093,625,6.7
22095,1214,6.1
22097,2143,6.7
22099,1371,6.1
22101,1604,7.9
22103,5031,4.3
22105,3131,5.7
22107,132,8.5
22109,2663,5.7
22111,512,5.6
22113,1454,6
22115,1068,6.5
22117,979,5.8
22119,1014,6.9
22121,620,4.6
22123,391,9.8
22125,222,4.2
22127,326,6.4
23000,23598,3.4
23001,1786,3.2
23003,1550,4.9
23005,4328,2.6
23007,600,4.1
23009,1143,3.9
23011,2086,3.3
23013,667,3.2
23015,564,3.3
23017,1042,3.9
23019,2950,3.8
23021,308,4.1
23023,536,2.8
23025,1146,5
23027,781,3.7
23029,708,5
23031,3406,3
24000,130740,4.1
24001,1830,5.7
24003,10831,3.5
24005,19214,4.3
24009,1763,3.6
24011,757,4.2
24013,3137,3.3
24015,2496,4.7
24017,3362,3.9
24019,880,5.6
24021,4709,3.6
24023,793,5.1
24025,5295,3.8
24027,5653,3.1
24029,448,4.4
24031,18059,3.3
24033,20887,4.1
24035,986,3.6
24037,2161,3.9
24039,627,6.8
24041,769,3.9
24043,3448,4.6
24045,2861,5.6
24047,2142,8.4
24510,17634,6.1
25000,140526,3.8
25001,5389,4.8
25003,2919,4.5
25005,14358,4.9
25007,477,5
25009,16223,3.9
25011,1377,3.4
25013,11675,5.2
25015,3137,3.5
25017,27930,3.1
25019,326,4.5
25021,12889,3.4
25023,11040,4
25025,15284,3.5
25027,17502,4
26000,224303,4.6
26001,273,7.1
26003,272,8.3
26005,2295,3.7
26007,775,5.7
26009,659,6.5
26011,484,8
26013,245,7.7
26015,1224,3.9
26017,2798,5.5
26019,571,6.5
26021,3560,4.8
26023,881,4.6
26025,3105,4.9
26027,1109,4.6
26029,725,5.5
26031,1076,10
26033,1247,7.6
26035,829,6.9
26037,1478,3.6
26039,374,6.9
26041,1064,6.2
26043,589,4.7
26045,2331,4.1
26047,1142,6.5
26049,10231,5.7
26051,641,6.5
26053,374,5.9
26055,2056,4.2
26057,964,5.4
26059,1020,4.9
26061,972,5.9
26063,800,5.1
26065,6435,4.3
26067,1171,3.9
26069,741,7.3
26071,329,6.4
26073,1565,4.4
26075,3411,4.6
26077,5298,4
26079,542,6.9
26081,12203,3.4
26083,78,8.7
26085,302,8.1
26087,2238,5.5
26089,501,4.8
26091,2207,4.7
26093,3421,3.4
26095,164,6.8
26097,523,10.1
26099,19252,4.3
26101,674,6.5
26103,1824,5.5
26105,802,5.7
26107,1068,5.7
26109,530,4.8
26111,1866,4.6
26113,403,5.8
26115,3588,4.7
26117,1398,5
26119,318,10.4
26121,4117,5.3
26123,1141,4.9
26125,23211,3.5
26127,861,7
26129,623,7.6
26131,189,8.7
26133,631,5.9
26135,213,7.3
26137,695,6
26139,5149,3.3
26141,476,9.2
26143,688,8.8
26145,4701,5.4
26147,3806,5.1
26149,1202,4.2
26151,1127,5.8
26153,278,8.3
26155,1710,5.1
26157,1479,6.2
26159,1996,5.7
26161,6790,3.5
26163,43388,5.5
26165,819,5.5
27000,105017,3.4
27001,444,6.2
27003,6494,3.3
27005,770,4.2
27007,1147,4.9
27009,875,4
27011,113,4.4
27013,1160,2.9
27015,531,3.7
27017,835,4.7
27019,1668,2.9
27021,851,5.9
27023,273,4
27025,1163,4
27027,1139,3.2
27029,402,8.8
27031,119,3.8
27033,296,5.2
27035,1429,4.4
27037,7173,3
27039,392,3.4
27041,649,3.2
27043,297,4.2
27045,398,3.5
27047,586,3.6
27049,862,3.2
27051,134,4.1
27053,21058,3
27055,357,3.4
27057,549,5.6
27059,899,4.3
27061,1508,7
27063,208,3.6
27065,547,6.1
27067,804,3.2
27069,88,3.7
27071,422,7.1
27073,121,3.4
27075,212,3.9
27077,111,4.7
27079,736,4.7
27081,107,3.2
27083,475,3.2
27085,736,3.8
27087,118,5
27089,378,6.9
27091,356,3.4
27093,533,4
27095,704,5.5
27097,935,5.3
27099,577,2.8
27101,213,4.4
27103,520,2.5
27105,358,3.2
27107,159,4.7
27109,2326,2.7
27111,1246,4
27113,495,5.6
27115,850,5.7
27117,161,3.3
27119,710,4.2
27121,194,3.1
27123,9229,3.2
27125,148,6.6
27127,311,4.1
27129,390,4.4
27131,1154,3.2
27133,122,2.1
27135,395,4.9
27137,4710,4.6
27139,2368,2.9
27141,1909,3.7
27143,300,3.6
27145,3032,3.4
27147,688,3.4
27149,145,2.6
27151,206,4.1
27153,529,3.9
27155,63,3.6
27157,404,3.3
27159,323,5.5
27161,359,3.9
27163,4202,3
27165,279,4.3
27167,110,3.1
27169,895,3.1
27171,2597,3.5
27173,184,3.4
28000,66523,5.2
28001,839,7.5
28003,726,4.5
28005,309,6.9
28007,431,6.2
28009,174,5.7
28011,847,6.6
28013,270,4.8
28015,211,6
28017,379,5.4
28019,184,5.1
28021,303,10
28023,380,6.2
28025,538,7
28027,657,7.6
28029,656,5.8
28031,400,4.9
28033,3487,3.9
28035,1662,5
28037,199,7
28039,648,7.3
28041,335,7.7
28043,453,4.7
28045,1066,5.7
28047,4284,5
28049,5431,5
28051,560,9.6
28053,213,9.7
28055,48,12.2
28057,452,4.3
28059,3550,6.1
28061,408,6.7
28063,317,14.9
28065,296,7
28067,1347,5.3
28069,286,8
28071,1171,4.3
28073,1182,3.9
28075,1734,5.5
28077,313,6.7
28079,445,5.9
28081,1690,4.1
28083,773,7.6
28085,776,5.3
28087,1389,5.5
28089,2120,4
28091,575,5.6
28093,761,5.3
28095,823,5.3
28097,217,5.2
28099,550,5.3
28101,464,5.2
28103,292,7.5
28105,1133,5.1
28107,900,6.9
28109,1266,5.4
28111,280,6.5
28113,901,6.2
28115,579,4
28117,522,4.7
28119,222,9.1
28121,2786,3.7
28123,551,4.2
28125,132,8.2
28127,547,5
28129,328,4.9
28131,412,6.3
28133,677,8.5
28135,301,5.5
28137,628,5.2
28139,433,4.6
28141,424,5.1
28143,271,6.1
28145,516,3.7
28147,350,6.9
28149,1203,5.8
28151,1300,7.3
28153,480,6.5
28155,208,5.4
28157,256,9
28159,445,6.2
28161,283,5.6
28163,568,6.3
29000,115269,3.8
29001,448,4.3
29003,314,3.2
29005,100,3.5
29007,386,3.5
29009,519,3.4
29011,217,4.2
29013,356,4.5
29015,373,5.1
29017,242,4.4
